"Postcode","OA_Code","Total","Percentage"
"S17 4BB","E00040093",32,36
"S17 4DN","E00040110",10,63
"S17 4DN","E00040132",6,38
"S17 4GH","E00040094",3,60
"S17 4GH","E00040147",2,40
"S17 4HE","E00040144",65,86
"S17 4HE","E00100137",11,14
"S17 4HF","E00040136",38,26
"S17 4HF","E00040137",2,1
"S17 4HF","E00040141",96,66
"S17 4HF","E00040144",10,7
"S17 4PZ","E00039662",8,67
"S17 4PZ","E00040107",4,33
"S18 1PP","E00100134",16,70
"S18 1PP","E00100178",7,30
"S18 1RU","E00100111",63,95
"S18 1RU","E00100117",3,5
"S18 1RY","E00100111",61,94
"S18 1RY","E00100117",4,6
"S18 1SE","E00100116",31,84
"S18 1SE","E00100118",6,16
"S18 1UB","E00100125",32,97
"S18 1UB","E00100336",1,3
"S18 1UP","E00100125",3,50
"S18 1UP","E00100336",3,50
"S18 1XH","E00100113",4,9
"S18 1XH","E00100118",40,91
"S18 2EJ","E00100084",32,45
"S18 2EJ","E00100098",39,55
"S18 2EP","E00100084",32,30
"S18 2EP","E00100098",74,70
"S18 2FG","E00100104",17,85
"S18 2FG","E00100105",3,15
"S18 2FH","E00100089",4,8
"S18 2FH","E00100105",46,92
"S18 2FJ","E00100089",1,13
"S18 2FJ","E00100104",7,88
"S18 2FQ","E00100104",3,4
"S18 2FQ","E00100105",69,96
"S18 2GB","E00100104",3,2
"S18 2GB","E00100140",135,98
"S18 2GD","E00100104",2,67
"S18 2GD","E00100140",1,33
"S18 2XB","E00100103",4,57
"S18 2XB","E00100116",3,43
"S18 2XL","E00100103",4,50
"S18 2XL","E00100118",4,50
"S18 3AH","E00100086",6,23
"S18 3AH","E00100089",20,77
"S18 3BH","E00100087",2,50
"S18 3BH","E00100285",2,50
"S18 3BZ","E00100086",3,25
"S18 3BZ","E00100104",9,75
"S18 3DB","E00100089",2,4
"S18 3DB","E00100104",47,96
"S18 4AB","E00100098",6,12
"S18 4AB","E00100336",43,88
"S18 4BA","E00100285",2,11
"S18 4BA","E00100339",16,89
"S18 4DB","E00100334",95,98
"S18 4DB","E00100337",2,2
"S18 7RZ","E00100032",3,38
"S18 7RZ","E00100033",5,63
"S18 7TB","E00098831",12,43
"S18 7TB","E00100033",8,29
