"Postcode","OA_Code","Total","Percentage"
"M15 5FP","E00175918",68,76
"M15 5FP","E00176075",14,16
"M15 5FT","E00026398",17,74
"M15 5FT","E00176064",6,26
"M15 5FW","E00176075",49,82
"M15 5FW","E00176090",11,18
"M15 5GD","E00026383",25,42
"M15 5GD","E00175836",10,17
"M15 5GD","E00175919",24,41
"M15 5GE","E00026383",8,15
"M15 5GE","E00175836",3,5
"M15 5GE","E00175918",4,7
"M15 5GE","E00175919",33,60
"M15 5GE","E00175920",7,13
"M15 5JF","E00026383",18,95
"M15 5JF","E00175919",1,5
"M15 5JN","E00175828",29,39
"M15 5JN","E00175921",46,61
"M15 5JS","E00175828",3,4
"M15 5JS","E00175912",77,96
"M15 5JW","E00175836",22,73
"M15 5JW","E00175918",6,20
"M15 5JW","E00176075",2,7
"M15 5JZ","E00175836",12,80
"M15 5JZ","E00175918",3,20
"M15 5LE","E00026386",37,95
"M15 5LE","E00176090",2,5
"M15 5LL","E00175907",34,21
"M15 5LL","E00175908",130,79
"M15 5LN","E00175907",28,45
"M15 5LN","E00175908",34,55
"M15 5LR","E00175920",65,52
"M15 5LR","E00176026",60,48
"M15 5LX","E00175919",7,21
"M15 5LX","E00175920",16,48
"M15 5LX","E00176026",10,30
"M15 5LZ","E00026393",48,74
"M15 5LZ","E00175919",17,26
"M15 5NA","E00026386",33,69
"M15 5NA","E00176090",15,31
"M15 5NB","E00026386",41,35
"M15 5NB","E00176090",77,65
"M15 5ND","E00026386",24,89
"M15 5ND","E00176090",3,11
"M15 5NZ","E00026396",49,92
"M15 5NZ","E00175836",4,8
"M15 5PS","E00026400",61,81
"M15 5PS","E00175828",9,12
"M15 5PS","E00175921",5,7
"M15 5PW","E00026400",2,8
"M15 5PW","E00030963",24,92
"M15 5PZ","E00026400",2,4
"M15 5PZ","E00175921",54,96
"M15 5QH","E00026400",9,8
"M15 5QH","E00030959",3,3
"M15 5QH","E00175907",97,89
"M15 5TA","E00175918",49,48
"M15 5TA","E00176075",54,52
"M15 5TE","E00026383",9,11
"M15 5TE","E00175836",21,25
"M15 5TE","E00175918",44,52
"M15 5TE","E00175919",10,12
"M15 5TF","E00175836",6,11
"M15 5TF","E00175918",50,89
"M15 5TG","E00175836",15,27
"M15 5TG","E00175918",40,73
"M15 5TH","E00026393",26,93
"M15 5TH","E00175919",2,7
"M15 5TN","E00026383",41,49
"M15 5TN","E00175919",43,51
"M15 5WB","E00026400",49,78
"M15 5WB","E00175911",14,22
"M15 5XE","E00026408",23,41
