"Postcode","OA_Code","Total","Percentage"
"GL142AP","E00113039",2,29
"GL142AP","E00113041",5,71
"GL142AQ","E00113039",5,20
"GL142AQ","E00113041",20,80
"GL142AY","E00113039",5,16
"GL142AY","E00113041",27,84
"GL142BA","E00113039",7,64
"GL142BA","E00113041",4,36
"GL142BT","E00113036",12,86
"GL142BT","E00113099",2,14
"GL142DP","E00113032",5,14
"GL142DP","E00113044",30,86
"GL142DT","E00113030",4,27
"GL142DT","E00113040",2,13
"GL142DT","E00113056",9,60
"GL142DW","E00113030",11,12
"GL142DW","E00113044",83,88
"GL142DY","E00113053",22,88
"GL142DY","E00113054",3,12
"GL142DZ","E00113040",1,6
"GL142DZ","E00113054",16,94
"GL142EY","E00113051",23,70
"GL142EY","E00113053",10,30
"GL142FB","E00113052",25,31
"GL142FB","E00113054",55,69
"GL142HD","E00113053",2,6
"GL142HD","E00113054",29,94
"GL142HU","E00113052",1,2
"GL142HU","E00113057",59,98
"GL142JA","E00113052",11,31
"GL142JA","E00113055",24,69
"GL142JB","E00113052",7,35
"GL142JB","E00113055",13,65
"GL142JE","E00113052",5,45
"GL142JE","E00113055",6,55
"GL142JH","E00113052",3,7
"GL142JH","E00113054",43,93
"GL142JP","E00113051",27,82
"GL142JP","E00113053",6,18
"GL142JT","E00113051",60,91
"GL142JT","E00113053",6,9
"GL142LA","E00113051",16,37
"GL142LA","E00113054",27,63
"GL142LD","E00113050",4,6
"GL142LD","E00113051",59,94
"GL142LL","E00113042",4,5
"GL142LL","E00113048",76,95
"GL142LY","E00113043",21,49
"GL142LY","E00113051",22,51
"GL142NL","E00113035",36,88
"GL142NL","E00113053",5,12
"GL142NT","E00113040",34,94
"GL142NT","E00113053",2,6
"GL142PG","E00113036",72,82
"GL142PG","E00113037",16,18
"GL142PX","E00113037",86,95
"GL142PX","E00113041",5,5
"GL142QT","E00113033",51,89
"GL142QT","E00113035",6,11
"GL142QY","E00113033",45,96
"GL142QY","E00113047",2,4
"GL142QZ","E00113033",4,57
"GL142QZ","E00113047",3,43
"GL142RB","E00113033",10,83
"GL142RB","E00113047",2,17
"GL142RN","E00113035",19,76
"GL142RN","E00113053",6,24
"GL142SU","E00113033",4,15
"GL142SU","E00113047",23,85
"GL142SW","E00113051",96,64
"GL142SW","E00113054",55,36
"GL142SZ","E00113043",1,2
"GL142SZ","E00113047",54,98
"GL142TJ","E00113042",41,95
"GL142TJ","E00113048",2,5
"GL142TN","E00113051",7,58
"GL142TN","E00113053",5,42
"GL142TT","E00113100",8,67
"GL142TT","E00113105",4,33
"GL142TZ","E00113103",93,96
"GL142TZ","E00113109",4,4
"GL142UB","E00113103",22,67
"GL142UB","E00113189",11,33
"GL142UF","E00113103",13,76
"GL142UF","E00113189",4,24
"GL142XQ","E00113043",7,54
"GL142XQ","E00113047",6,46
"GL142YD","E00113042",5,71
"GL142YD","E00113046",2,29
"GL143AE","E00113104",133,99
"GL143AE","E00113108",1,1
"GL143DB","E00113032",9,53
"GL143DB","E00113044",8,47
"GL143DL","E00113102",3,33
"GL143DL","E00113105",6,67
"GL143DS","E00113107",49,69
"GL143DS","E00113108",22,31
"GL143EF","E00113102",102,91
"GL143EF","E00113104",10,9
"GL143EH","E00113045",108,98
"GL143EH","E00113057",2,2
"GL143ER","E00113045",76,74
"GL143ER","E00113106",27,26
"GL143FD","E00113106",14,54
"GL143FD","E00113107",12,46
"GL143HA","E00113045",11,85
"GL143HA","E00113057",2,15
"GL143HG","E00113052",40,93
"GL143HG","E00113055",3,7
"GL143HH","E00113104",1,6
"GL143HH","E00113106",17,94
"GL143HL","E00113104",1,1
"GL143HL","E00113106",75,99
"GL143HY","E00113042",0,0
"GL143HY","E00113046",9,60
"GL143HY","E00113047",6,40
"GL143JZ","E00113100",6,75
"GL143JZ","E00113101",2,25
"GL143LB","E00113100",3,11
"GL143LB","E00113101",24,89
"GL143LF","E00113036",4,16
"GL143LF","E00113101",21,84
"GL143LJ","E00112996",2,20
"GL143LJ","E00113099",8,80
"GL143NJ","E00113098",24,71
"GL143NJ","E00113100",10,29
"GL143PA","E00113098",14,88
"GL143PA","E00113189",2,13
"GL1 4AG","E00113322",15,83
"GL1 4AG","E00113325",3,17
"GL1 4BN","E00113321",9,90
"GL1 4BN","E00113330",1,10
"GL1 4BX","E00113298",2,14
"GL1 4BX","E00113319",12,86
"GL1 4EQ","E00113319",36,64
"GL1 4EQ","E00113320",20,36
"GL1 4EZ","E00113329",10,53
"GL1 4EZ","E00113331",9,47
"GL1 4LN","E00113302",6,7
"GL1 4LN","E00113305",85,93
"GL1 4NT","E00113313",4,7
"GL1 4NT","E00113314",55,93
"GL1 4QE","E00113312",4,31
"GL1 4QE","E00113315",9,69
"GL1 4QX","E00113505",90,88
"GL1 4QX","E00113509",12,12
"GL1 4RJ","E00113511",4,3
"GL1 4RJ","E00113512",123,97
"GL1 4TN","E00113310",104,98
"GL1 4TN","E00113313",2,2
"GL1 4UT","E00113306",141,97
"GL1 4UT","E00113311",5,3
"GL1 4XH","E00113303",2,9
"GL1 4XH","E00113328",21,91
"GL154AA","E00112987",98,94
"GL154AA","E00112990",6,6
"GL154AF","E00112990",4,27
"GL154AF","E00113103",8,53
"GL154AF","E00113189",3,20
"GL154AJ","E00112986",2,3
"GL154AJ","E00112990",70,95
"GL154AJ","E00113103",2,3
"GL154AR","E00112986",4,57
"GL154AR","E00112989",3,43
"GL154AW","E00112990",3,7
"GL154AW","E00113103",42,93
"GL154AX","E00112989",18,58
"GL154AX","E00113131",13,42
"GL154DB","E00112986",19,90
"GL154DB","E00112989",2,10
"GL154EB","E00112987",0,0
"GL154EB","E00112989",31,100
"GL154EH","E00112987",1,1
"GL154EH","E00112989",66,99
"GL154ES","E00112985",12,67
"GL154ES","E00113131",6,33
"GL154JQ","E00113005",2,11
"GL154JQ","E00113205",17,89
"GL154LJ","E00113140",11,52
"GL154LJ","E00113146",10,48
"GL154LL","E00113140",7,28
"GL154LL","E00113146",18,72
"GL154LN","E00113131",19,68
"GL154LN","E00113146",9,32
"GL154LR","E00112989",9,64
"GL154LR","E00113131",5,36
"GL154LT","E00112989",14,88
"GL154LT","E00113209",2,13
"GL154LY","E00112986",13,87
"GL154LY","E00113209",2,13
"GL154PS","E00112981",4,67
"GL154PS","E00113204",2,33
"GL154PU","E00113203",2,50
"GL154PU","E00113204",2,50
"GL154QE","E00113203",4,22
"GL154QE","E00113204",14,78
"GL154QF","E00113203",2,15
"GL154QF","E00113204",11,85
"GL154QL","E00113202",2,7
"GL154QL","E00113203",25,93
"GL154QT","E00113202",4,18
"GL154QT","E00113203",17,77
"GL154QT","E00113210",1,5
"GL154QW","E00113202",4,19
"GL154QW","E00113203",17,81
"GL154RG","E00113202",12,75
"GL154RG","E00113203",4,25
"GL154SG","E00113207",85,99
"GL154SG","E00113208",1,1
"GL154SS","E00113202",61,97
"GL154SS","E00113203",2,3
"GL154TA","E00113201",10,83
"GL154TA","E00113208",2,17
"GL154TN","E00113201",30,91
"GL154TN","E00113210",3,9
"GL154TP","E00113201",39,93
"GL154TP","E00113210",3,7
"GL154TZ","E00113146",8,50
"GL154TZ","E00113204",8,50
"GL155AS","E00113127",93,95
"GL155AS","E00113132",1,1
"GL155AS","E00113142",4,4
"GL155AW","E00113130",2,10
"GL155AW","E00113132",14,70
"GL155AW","E00113142",4,20
"GL155BS","E00113127",28,93
"GL155BS","E00113136",2,7
"GL155DP","E00112982",2,7
"GL155DP","E00112984",27,93
"GL155ED","E00112980",5,10
"GL155ED","E00112985",44,90
"GL155GZ","E00112982",7,24
"GL155GZ","E00112984",22,76
"GL155LQ","E00113143",32,62
"GL155LQ","E00113149",20,38
"GL155LS","E00113128",2,18
"GL155LS","E00113142",9,82
"GL155LT","E00113129",16,84
"GL155LT","E00113144",3,16
"GL155LZ","E00113129",76,97
"GL155LZ","E00113141",2,3
"GL155NB","E00113128",5,10
"GL155NB","E00113130",46,90
"GL155NJ","E00113128",64,93
"GL155NJ","E00113141",5,7
"GL155PQ","E00113133",66,99
"GL155PQ","E00113139",1,1
"GL155RF","E00113133",3,60
"GL155RF","E00113142",2,40
"GL155SG","E00113145",4,10
"GL155SG","E00113149",37,90
"GL155SS","E00113145",86,99
"GL155SS","E00113146",1,1
"GL155SY","E00113146",10,18
"GL155SY","E00113147",45,82
"GL156AE","E00112977",15,63
"GL156AE","E00113095",9,38
"GL156BU","E00112979",10,38
"GL156BU","E00112981",16,62
"GL156DR","E00112977",3,10
"GL156DR","E00112978",28,90
"GL156DU","E00112977",13,68
"GL156DU","E00112978",6,32
"GL156DX","E00112977",7,24
"GL156DX","E00112978",22,76
"GL156EQ","E00113010",10,67
"GL156EQ","E00113012",5,33
"GL156ES","E00113007",2,6
"GL156ES","E00113010",33,94
"GL156EU","E00113007",14,82
"GL156EU","E00113181",3,18
"GL156EX","E00112978",5,42
"GL156EX","E00113007",6,50
"GL156EX","E00113181",1,8
"GL156FE","E00113009",2,50
"GL156FE","E00113011",2,50
"GL156FG","E00113010",1,7
"GL156FG","E00113012",14,93
"GL156GA","E00113002",8,47
"GL156GA","E00113008",9,53
"GL156HH","E00113005",4,8
"GL156HH","E00113007",44,92
"GL156HX","E00113005",17,85
"GL156HX","E00113007",3,15
"GL156JF","E00113005",32,91
"GL156JF","E00113009",3,9
"GL156JS","E00113003",2,4
"GL156JS","E00113005",44,92
"GL156JS","E00113008",2,4
"GL156LL","E00113003",3,8
"GL156LL","E00113008",34,92
"GL156LX","E00113002",141,98
"GL156LX","E00113006",2,1
"GL156LX","E00113008",1,1
"GL156ND","E00113002",66,97
"GL156ND","E00113008",2,3
"GL156NG","E00113002",7,8
"GL156NG","E00113008",81,92
"GL156NY","E00113094",2,6
"GL156NY","E00113097",30,94
"GL156PJ","E00113095",20,80
"GL156PJ","E00113097",5,20
"GL156PT","E00113097",22,45
"GL156PT","E00113237",27,55
"GL156QJ","E00113175",6,24
"GL156QJ","E00113176",17,68
"GL156QJ","E00113181",2,8
"GL156QQ","E00113175",2,67
"GL156QQ","E00113181",1,33
"GL156QS","E00113176",2,20
"GL156QS","E00113181",8,80
"GL156RD","E00113005",8,73
"GL156RD","E00113007",3,27
"GL156RR","E00113178",3,20
"GL156RR","E00113181",12,80
"GL156RZ","E00113176",2,67
"GL156RZ","E00113177",1,33
"GL156SD","E00113178",4,24
"GL156SD","E00113181",13,76
"GL156TB","E00113179",14,33
"GL156TB","E00113180",29,67
"GL156TW","E00113180",26,87
"GL156TW","E00113181",4,13
"GL156UP","E00113092",6,86
"GL156UP","E00113097",1,14
"GL156UQ","E00113092",8,32
"GL156UQ","E00113181",17,68
"GL1 5AL","E00113311",73,78
"GL1 5AL","E00113493",20,22
"GL1 5AN","E00113311",12,25
"GL1 5AN","E00113520",36,75
"GL1 5BN","E00113493",3,30
"GL1 5BN","E00113494",7,70
"GL1 5DT","E00113513",39,98
"GL1 5DT","E00113518",1,3
"GL1 5ER","E00113513",3,3
"GL1 5ER","E00113518",117,98
"GL1 5JL","E00113311",51,96
"GL1 5JL","E00113495",2,4
"GL1 5JU","E00113499",2,3
"GL1 5JU","E00113508",68,97
"GL1 5JW","E00113512",5,42
"GL1 5JW","E00113519",7,58
"GL1 5JZ","E00113508",64,98
"GL1 5JZ","E00113512",1,2
"GL1 5LG","E00113519",16,89
"GL1 5LG","E00113576",2,11
"GL1 5NA","E00113516",28,49
"GL1 5NA","E00113524",29,51
"GL1 5NG","E00113512",4,44
"GL1 5NG","E00113519",5,56
"GL1 5PP","E00113492",76,97
"GL1 5PP","E00113494",2,3
"GL1 5PR","E00113492",4,4
"GL1 5PR","E00113494",101,96
"GL1 5TJ","E00113489",115,98
"GL1 5TJ","E00113506",2,2
"GL167AB","E00112992",3,7
"GL167AB","E00112995",39,93
"GL167AD","E00112991",3,5
"GL167AD","E00112995",52,95
"GL167AF","E00112992",17,85
"GL167AF","E00113023",3,15
"GL167AG","E00112992",52,80
"GL167AG","E00113023",13,20
"GL167AH","E00113021",86,98
"GL167AH","E00113023",2,2
"GL167BL","E00113073",33,92
"GL167BL","E00113205",3,8
"GL167BQ","E00113073",1,17
"GL167BQ","E00113084",5,83
"GL167DA","E00113065",3,21
"GL167DA","E00113082",11,79
"GL167DB","E00113022",4,67
"GL167DB","E00113082",2,33
"GL167EA","E00113073",2,4
"GL167EA","E00113083",3,6
"GL167EA","E00113084",38,79
"GL167EA","E00113086",5,10
"GL167EG","E00113022",3,38
"GL167EG","E00113073",5,63
"GL167ES","E00113019",1,10
"GL167ES","E00113022",9,90
"GL167FE","E00112992",4,29
"GL167FE","E00112995",10,71
"GL167HS","E00113069",19,79
"GL167HS","E00113078",5,21
"GL167HU","E00113071",46,94
"GL167HU","E00113072",3,6
"GL167HY","E00113078",18,46
"GL167HY","E00113084",21,54
"GL167JL","E00113086",36,92
"GL167JL","E00113205",3,8
"GL167JW","E00113069",67,97
"GL167JW","E00113086",2,3
"GL167LE","E00113072",38,90
"GL167LE","E00113183",4,10
"GL167LJ","E00113072",1,3
"GL167LJ","E00113079",30,97
"GL167LQ","E00113072",17,89
"GL167LQ","E00113183",2,11
"GL167LU","E00113072",0,0
"GL167LU","E00113185",21,100
"GL167NN","E00113023",14,93
"GL167NN","E00113060",1,7
"GL167NT","E00113019",2,11
"GL167NT","E00113023",17,89
"GL167NX","E00113019",3,27
"GL167NX","E00113023",8,73
"GL167NZ","E00070839",1,4
"GL167NZ","E00113019",23,96
"GL167PY","E00113071",20,63
"GL167PY","E00113072",12,38
"GL167QD","E00113065",11,31
"GL167QD","E00113082",24,69
"GL167QE","E00112994",2,7
"GL167QE","E00113082",25,93
"GL167QN","E00112994",46,64
"GL167QN","E00113061",20,28
"GL167QN","E00113065",6,8
"GL167QP","E00112991",53,98
"GL167QP","E00112994",1,2
"GL167QU","E00112994",23,50
"GL167QU","E00113021",23,50
"GL167RA","E00113074",3,17
"GL167RA","E00113085",15,83
"GL168AE","E00113058",8,89
"GL168AE","E00113062",1,11
"GL168AT","E00113059",2,33
"GL168AT","E00113064",4,67
"GL168AW","E00113058",4,17
"GL168AW","E00113068",19,83
"GL168BA","E00113062",28,90
"GL168BA","E00113066",2,6
"GL168BA","E00113068",1,3
"GL168BN","E00113064",27,60
"GL168BN","E00113065",8,18
"GL168BN","E00113066",10,22
"GL168DN","E00113062",77,99
"GL168DN","E00113067",1,1
"GL168DP","E00113062",5,63
"GL168DP","E00113066",3,38
"GL168DQ","E00113064",1,6
"GL168DQ","E00113066",16,94
