"Postcode","OA_Code","Total","Percentage"
"AL4 0FN","E00120243",65,94
"AL4 0FN","E00120244",4,6
"AL4 0GX","E00120243",65,94
"AL4 0GX","E00120247",4,6
"AL4 0NJ","E00119767",3,21
"AL4 0NJ","E00120245",11,79
"AL4 0NZ","E00120250",4,67
"AL4 0NZ","E00121688",2,33
"AL4 0PG","E00119767",5,63
"AL4 0PG","E00120250",3,38
"AL4 0QJ","E00120246",83,91
"AL4 0QJ","E00121679",8,9
"AL4 0QL","E00120246",30,52
"AL4 0QL","E00121679",28,48
"AL4 0QR","E00120246",7,9
"AL4 0QR","E00121679",69,91
"AL4 0QS","E00120246",15,22
"AL4 0QS","E00121679",54,78
"AL4 0SX","E00120187",8,9
"AL4 0SX","E00120255",79,91
"AL4 0TR","E00120187",11,50
"AL4 0TR","E00120255",11,50
"AL4 0TX","E00120187",22,45
"AL4 0TX","E00120257",27,55
"AL4 0UU","E00120181",24,83
"AL4 0UU","E00120229",5,17
"AL4 0XH","E00120184",2,1
"AL4 0XH","E00120252",219,99
"AL4 8AS","E00120601",8,14
"AL4 8AS","E00120602",51,86
"AL4 8AW","E00120600",11,85
"AL4 8AW","E00120601",2,15
"AL4 8BB","E00120598",35,81
"AL4 8BB","E00120601",6,14
"AL4 8BB","E00120602",2,5
"AL4 8BH","E00120598",1,9
"AL4 8BH","E00120602",10,91
"AL4 8EN","E00120526",3,23
"AL4 8EN","E00120591",10,77
"AL4 8ER","E00120591",2,50
"AL4 8ER","E00120594",2,50
"AL4 8FJ","E00120595",38,88
"AL4 8FJ","E00120598",5,12
"AL4 8HL","E00120585",45,90
"AL4 8HL","E00120596",5,10
"AL4 8HR","E00120596",31,97
"AL4 8HR","E00120597",1,3
"AL4 8LA","E00119985",4,20
"AL4 8LA","E00120593",16,80
"AL4 8LL","E00119985",35,88
"AL4 8LL","E00120593",5,13
"AL4 8PB","E00120584",2,3
"AL4 8PB","E00120586",73,97
"AL4 8QD","E00120587",1,1
"AL4 8QD","E00120589",67,99
"AL4 9AB","E00120409",10,83
"AL4 9AB","E00120425",2,17
"AL4 9AD","E00120409",33,94
"AL4 9AD","E00120425",2,6
"AL4 9AX","E00120396",91,94
"AL4 9AX","E00120401",6,6
"AL4 9DH","E00120535",1,4
"AL4 9DH","E00120537",24,96
"AL4 9EP","E00120535",62,94
"AL4 9EP","E00120536",4,6
"AL4 9ER","E00120535",4,50
"AL4 9ER","E00120538",4,50
"AL4 9EU","E00120535",1,25
"AL4 9EU","E00120537",3,75
"AL4 9LS","E00120397",54,89
"AL4 9LS","E00120525",7,11
"AL4 9NQ","E00120397",2,29
"AL4 9NQ","E00120416",5,71
"AL4 9XZ","E00120406",28,93
"AL4 9XZ","E00120409",2,7
"AL5 1AN","E00120342",23,96
"AL5 1AN","E00120585",1,4
"AL5 1JA","E00120329",5,28
"AL5 1JA","E00120599",13,72
"AL5 1JH","E00120328",35,81
"AL5 1JH","E00120329",8,19
"AL5 1JJ","E00120329",13,68
"AL5 1JJ","E00120599",6,32
"AL5 1JP","E00120329",11,22
"AL5 1JP","E00120599",40,78
"AL5 1JQ","E00120329",56,86
"AL5 1JQ","E00120599",9,14
"AL5 1JR","E00120329",7,37
"AL5 1JR","E00120599",12,63
"AL5 1JW","E00120329",57,73
"AL5 1JW","E00120599",21,27
"AL5 2AB","E00120326",5,36
"AL5 2AB","E00120474",9,64
"AL5 2JP","E00120338",2,6
"AL5 2JP","E00120360",29,94
"AL5 2JT","E00120360",4,67
"AL5 2JT","E00120457",2,33
"AL5 2NA","E00120338",4,31
"AL5 2NA","E00120341",9,69
"AL5 2PS","E00120367",5,45
"AL5 2PS","E00120368",6,55
"AL5 2PZ","E00120367",1,2
"AL5 2PZ","E00120368",64,98
"AL5 2QP","E00120349",35,95
"AL5 2QP","E00120367",2,5
"AL5 2RA","E00120349",6,40
"AL5 2RA","E00120355",9,60
"AL5 3HW","E00120306",40,95
"AL5 3HW","E00120317",2,5
"AL5 3NX","E00120306",4,7
"AL5 3NX","E00120316",57,93
"AL5 3NY","E00120316",34,65
"AL5 3NY","E00120317",18,35
"AL5 3PD","E00120316",6,60
"AL5 3PD","E00120457",4,40
"AL5 3PG","E00120306",2,33
"AL5 3PG","E00120457",4,67
"AL5 4AJ","E00120364",71,82
"AL5 4AJ","E00120365",16,18
"AL5 4AL","E00120364",29,88
"AL5 4AL","E00120365",4,12
"AL5 4ES","E00120348",2,67
"AL5 4ES","E00120352",1,33
"AL5 4ET","E00120348",14,70
"AL5 4ET","E00120352",6,30
"AL5 4LY","E00120315",5,14
"AL5 4LY","E00120318",31,86
"AL5 4QN","E00120282",13,76
"AL5 4QN","E00120300",4,24
"AL5 4RU","E00120280",4,19
"AL5 4RU","E00120284",17,81
"AL5 4SJ","E00120346",35,83
"AL5 4SJ","E00120354",7,17
"AL5 4TQ","E00120281",45,98
"AL5 4TQ","E00120290",1,2
"AL5 4XE","E00120289",10,33
"AL5 4XE","E00120350",20,67
"AL5 5LA","E00120351",32,71
"AL5 5LA","E00120357",13,29
"AL5 5PX","E00120292",53,69
"AL5 5PX","E00120361",24,31
"AL5 5SD","E00120293",46,42
"AL5 5SD","E00120294",63,58
"AL5 5TA","E00120346",1,3
"AL5 5TA","E00120359",35,97
"AL6 0AT","E00121708",37,90
"AL6 0AT","E00121718",4,10
"AL6 0BE","E00121708",10,83
"AL6 0BE","E00121718",2,17
"AL6 0BL","E00121711",12,75
"AL6 0BL","E00121720",4,25
"AL6 0BU","E00121431",1,3
"AL6 0BU","E00121709",36,97
"AL6 0JX","E00119295",4,17
"AL6 0JX","E00119297",20,83
"AL6 0NP","E00119199",2,5
"AL6 0NP","E00119288",41,95
"AL6 0PG","E00119992",24,83
"AL6 0PG","E00121697",5,17
"AL6 0PL","E00121693",7,22
"AL6 0PL","E00121712",25,78
"AL6 0PQ","E00119992",44,96
"AL6 0PQ","E00121689",2,4
"AL6 0QA","E00119992",15,65
"AL6 0QA","E00121696",8,35
"AL6 0QB","E00121689",35,85
"AL6 0QB","E00121696",6,15
"AL6 0RD","E00121694",31,82
"AL6 0RD","E00121695",7,18
"AL6 0RJ","E00121694",2,25
"AL6 0RJ","E00121695",6,75
"AL6 0SQ","E00121694",15,75
"AL6 0SQ","E00121695",5,25
"AL6 9AF","E00121705",10,71
"AL6 9AF","E00173259",4,29
"AL6 9AS","E00121704",10,83
"AL6 9AS","E00121717",2,17
"AL6 9DS","E00121704",3,60
"AL6 9DS","E00121715",2,40
"AL6 9EX","E00121711",1,13
"AL6 9EX","E00121714",7,88
"AL6 9LN","E00121714",9,75
"AL6 9LN","E00121715",3,25
"AL6 9LR","E00121713",7,21
"AL6 9LR","E00121714",27,79
"AL6 9NS","E00119837",6,18
"AL6 9NS","E00121713",27,82
"AL6 9PX","E00121717",55,87
"AL6 9PX","E00121719",8,13
"AL6 9SU","E00119992",51,96
"AL6 9SU","E00121691",2,4
"AL6 9SY","E00119992",31,89
"AL6 9SY","E00121691",4,11
"AL6 9TA","E00119992",12,92
"AL6 9TA","E00121691",1,8
"AL6 9TT","E00119991",6,21
"AL6 9TT","E00121710",22,79
"AL6 9TU","E00119837",5,71
"AL6 9TU","E00121710",2,29
"AL6 9TY","E00119991",46,98
"AL6 9TY","E00121710",1,2
"AL6 9UF","E00119991",21,88
